id,title,overview,genres,cast,director,writers,production_companies,producers,original_language,vote_count,vote_average,popularity,runtime,release_date
2,Ariel,"After the coal mine he works at closes and his father commits suicide, a Finnish man leaves for the city to make a living but there, he is framed and imprisoned for various crimes.","Drama, Comedy, Romance, Crime","Markku Rantala, Esko Nikkari, Matti Pellonpää, Timo Toikka, Susanna Haavisto, Matti Jaaranen, Pekka Wilen, Olli Varja, Juuso Hirvikangas, Timo Markko, Hannu Viholainen, Sakari Kuosmanen, Jouko Lumme, Tarja Keinänen, Hanna Jokinen, Veikko Uusimäki, Kari Helaseppä, Erkki Pajala, Tomi Salmela, Heikki Anttila, Hannu Kivisalo, Pentti Auer, Esko Salminen, Reijo Marin, Timo Harakka, Heikki Salomaa, Mikko Lyytikäinen, Turo Pajala, Mikko Remes, Sami Lanki, Jyrki Olsonen, Marja Packalén, Eetu Hilkamo, Eino Kuusela, Kauko Laalo, Jorma Markkula, Jaakko Talaskivi, Sirkka Rautiainen",Aki Kaurismäki,Aki Kaurismäki,Villealfa Filmproductions,Aki Kaurismäki,fi,304,7.082,9.751,73,1988-10-21
3,Shadows in Paradise,"Nikander, a rubbish collector and would-be entrepreneur, finds his plans for success dashed when his business associate dies. One evening, he meets Ilona, a down-on-her-luck cashier, in a local supermarket. Falteringly, a bond begins to develop between them.","Drama, Comedy, Romance","Esko Nikkari, Matti Pellonpää, Sirkka Silin, Haije Alanoja, Teuvo Rissanen, Pentti Koski, Olli Varja, Jukka-Pekka Palo, Ulla Kuosmanen, Eskil Mansikka, Ari Korhonen, Sakari Kuosmanen, Mari Rantasila, Safka Pekkonen, Marina Martinoff, Riikka Kuosmanen, Kylli Köngäs, Tanja Talaskivi, Helmeri Pellonpää, Svante Korkiakoski, Mato Valtonen, Pekka Laiho, Marja-Leena Hukkanen, Jussi Tiitinen, Sakke Järvenpää, Antti Ortamo, Jukka Mäkinen, Aki Kaurismäki, Bertta Pellonpää, Jaakko Talaskivi, Erkki Rissanen, Kati Outinen, Neka Haapanen",Aki Kaurismäki,Aki Kaurismäki,Villealfa Filmproductions,Mika Kaurismäki,fi,344,7.302,12.724,74,1986-10-17
5,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,Comedy,"Amanda de Cadenet, Antonio Banderas, Madonna, Lawrence Bender, Patricia Vonne, Sammi Davis, Paul Calderon, David Proval, Quentin Tarantino, Quinn Hellerman, Kimberly Blair, Danny Verduzco, Paul Skemp, Bruce Willis, Marisa Tomei, Jennifer Beals, Lana McKissack, Kathy Griffin, Ione Skye, Alicia Witt, Lili Taylor, Marc Lawrence, Laura Rush, Tim Roth, Valeria Golino, Unruly Julie McClean, Salma Hayek Pinault, Tamlyn Tomita","Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino, Allison Anders","Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino, Allison Anders","Miramax, A Band Apart","Alexandre Rockwell, Lawrence Bender, Quentin Tarantino",en,2534,5.8,20.789,98,1995-12-09
6,Judgment Night,"Four young friends, while taking a shortcut en route to a local boxing match, witness a brutal murder which leaves them running for their lives.","Action, Crime, Thriller","Everlast, Peter Greene, Michael DeLorenzo, Denis Leary, Stephen Dorff, Galyn Görg, Eugene Williams, Will Zahrn, Emilio Estevez, Cuba Gooding Jr., Michael Wiseman, Jeremy Piven, Relioues Webb, Angela Alvarado, Christine Harnos",Stephen Hopkins,"Jere Cunningham, Lewis Colick","Largo Entertainment, JVC, Universal Pictures","Marilyn Vance, Gene Levy, Lloyd Segan",en,316,6.527,11.92,109,1993-10-15
8,Life in Loops (A Megacities RMX),"Timo Novotny labels his new project an experimental music documentary film, in a remix of the celebrated film Megacities (1997), a visually refined essay on the hidden faces of several world """"megacities"""" by leading Austrian documentarist Michael Glawogger. Novotny complements 30 % of material taken straight from the film (and re-edited) with 70 % as yet unseen footage in which he blends original shots unused by Glawogger with his own sequences (shot by Megacities cameraman Wolfgang Thaler) from Tokyo. Alongside the Japanese metropolis, Life in Loops takes us right into the atmosphere of Mexico City, New York, Moscow and Bombay. This electrifying combination of fascinating film images and an equally compelling soundtrack from Sofa Surfers sets us off on a stunning audiovisual adventure across the continents. The film also makes an original contribution to the discussion on new trends in documentary filmmaking. Written by KARLOVY VARY IFF 2006",Documentary,,Timo Novotny,"Michael Glawogger, Timo Novotny",inLoops,"Ulrich Gehmacher, Timo Novotny",en,27,7.5,3.203,80,2006-01-01
11,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"Adventure, Action, Science Fiction","Barry Copping, Linda Jones, Maria De Aragon, Michael Leader, Garrick Hagon, Frazer Diamond, Drewe Henley, Melissa Kurtz, Anthony Lang, Arthur Howell, Eddie Byrne, Alfie Curtis, Joe Johnston, Jeremy Sinden, Lightning Bear, John Sylla, George Roubicek, Alec Guinness, Frances Alfred Basil Tomlin, Rusty Goffe, Derek Lyons, Sadie Eden, Alex McCrindle, Anthony Forrest, Marcus Powell, Hal Wamsley, Angus MacInnes, Grant McCune, Jack Purvis, Mahjoub, Richard LeParmentier, Joe Kaye, Graham Ashley, Robert A. Denham, Ted Gagliano, Kim Falkinburg, Peter Sumner, John Chapman, James Earl Jones, Reg Harding, Ted Burnett, Laine Liska, Frank Henson, Tom Sylla, Salo Gardner, Larry Ward, Geoffrey Moon, Ron Tarr, Colin Higgins, Jerry Walter, Janice Burchette, Tiffany Hillkurtz, Leslie Schofield, Isaac Grand, Shelagh Fraser, Denis Lawson, Don Henderson, Shane Rimmer, Paul Blake, Phil Tippett, Colin Michael Kitchens, George Stock, Mandy Morton, Peter Sturgeon, Steve Gawley, Roy Straite, Jack Klaff, Warwick Diamond, John Cannon, David Ankrum, Alan Harris, Harrison Ford, Malcolm Tierney, Pam Rose, Anthony Daniels, Peter Cushing, Peter Diamond, William Hootkins, Morgan Upton, Peter Mayhew, Fred Wood, Bill Weston, Kenny Baker, Tommy Ilsley, Erica Simmons, Mark Hamill, Barry Gnome, Phil Brown, Al Lampert, Doug Beswick, Gilda Cohen, Robert Davies, Angela Staines, Carrie Fisher, Lorne Peterson, Alf Mangan, David Prowse, Tim Condren, Jon Berg, Burnell Tucker, Scott Beach, Annette Jones, Diana Sadley Way, Harry Fielder",George Lucas,George Lucas,"Lucasfilm Ltd., 20th Century Fox","Gary Kurtz, Rick McCallum, George Lucas",en,19779,8.204,111.703,121,1977-05-25
12,Finding Nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.","Animation, Family","Nicole Miller, Alexander Gould, Geoffrey Rush, Alec Medlock, Joe Ranft, Andrew Stanton, Jess Harnell, Bruce Spence, Austin Pendleton, Geoff Brooks, LuLu Ebeling, Bob Bergen, Vicki Lewis, Willem Dafoe, Annelise Nolting, Jeff Pidgeon, Jennifer Darling, Laraine Newman, Susan Blu, Sherry Lynn, Elizabeth Perkins, Erica Beck, Noah Luke, Ellen DeGeneres, Evan Sabara, Lee Unkrich, Phil Proctor, Lili Ishida, Emmett Shoemaker, James S. Baker, David Ian Salter, Laura Marano, Stephen Root, Oliver Kindred, Marc John Jefferies, Jim Ward, Brad Garrett, Kali Whitehurst, Jane Carr, Caroline Kindred, Nicholas Bird, Barry Humphries, Bill Hunter, Jordan Ranft, Lisa Peers, Ben Stanton, Danny Mann, Aaron Fors, Allison Janney, Vanessa Marano, Albert Brooks, Katherine Ringgold, Mickie McGowan, Jan Rabson, John Ratzenberger, Rove McManus, Michaela Jill Murphy, Eric Bana, Eliza Schneider, Bobby Block, Erik Per Sullivan, Jack Angel, Paul Eiding, Bradley Trevor Greive, Carlos Alazraqui, Leland Grossman, Bob Peterson, Daryl Sabara",Andrew Stanton,"David Reynolds, Blake Tucker, Will Csaklos, Andrew Stanton, Adam Bronstein, Jim Capobianco, Bob Peterson, Ronnie del Carmen",Pixar,"Graham Walters, John Lasseter",en,18556,7.823,98.183,100,2003-05-30
13,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.","Comedy, Drama, Romance","Kevin Davis, Aaron Izbicki, Byron Minns, Kevin Mangan, Deborah McTeer, Tom Hanks, Tiffany Salerno, Sonny Shroyer, Bobby Richardson, Mary Ellen Trainor, Peter Bannon, Russ Wilson, Michael Jace, Harold G. Herthum, Angela Lomas, Sally Field, Alexander Zemeckis, Pete Auster, Jack Bowden, Isabel Rose, Haley Joel Osment, W. Benson Terry, Matt Wallace, Emily Carey, Hallie D'Amore, Brett Rice, David Brisbin, Bruce Lucvia, Al Harrington, Michael Conner Humphreys, Valentine, Richard D'Alessandro, Charles Boswell, Fay Genens, John William Galt, Logan Livingston Gomez, Joe Stefanelli, Jed Gillin, Lenny Herb, Nora Dunfee, Daniel J. Gillooly, Vanessa Roth, Grady Bowman, John Voldstad, Michael J. Oliver, George Kelly, Dick Stilwell, Hanna Hall, Michael McFall, Kitty K. Green, Lonnie Hamilton, Peter Dobson, Jeffrey Winner, Teresa Denton, Jim Hanks, Bob Penny, Steven Griffith, Kurt Russell, Robb Skyler, Jason McGuire, Geoffrey Blake, Ben Waddel, Zach Hanner, Frank Geyer, Don Fischer, Chiffonye Cobb, Mark Matheisen, Sam Anderson, Ione M. Telech, Mykelti Williamson, Christine Seabrook, Joe Alaskey, Steve DeRelian, Aloysius Gigl, Robin Wright, Michael Mattison, Juan Singleton, Tyler Long, Siobhan Fallon Hogan, Bob Harks, Aaron Michael Lacey, Kirk Ward, Ed Davis, Hilary Chaplain, Mike Jolly, John Worsham, Brendan Shanahan, Bryan Hanna, Timothy Record, Greg Brown, Rob Landry, Rebecca Williams, Kenneth Bevington, Marla Sucharetza, Stephen Bridgewater, Tim Perry, Scott Oliver, Daniel C. Striepeke, Dick Cavett, Gary Robinson, Michael Kemmerling, Calvin Gadsden, Bonnie Ann Burgess, Jay Ross, Gary Sinise, Jacqueline Lovell, Michael Flannery, Marlena Smalls, Eric Underwood, Christopher Jones, John Randall, Danté McCarthy, Troy Christian, Afemo Omilami, Matt Rebenkoff, Lazarus Jackson, Timothy McNeil, Elizabeth Hanks, Paulie DiCocco, Bill Roberson, Natalie Hendrix Tate, William Shipman, Margo Moorer, Michael Burgess, Paul Raczkowski, Joe Washington",Robert Zemeckis,"Winston Groom, Eric Roth","Paramount, The Steve Tisch Company, Wendy Finerman Productions","Steve Tisch, Wendy Finerman, Steve Starkey",en,26330,8.477,120.17,142,1994-06-23
14,American Beauty,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",Drama,"Ronald Reagan, Peter Gallagher, Amber Smith, Alison Faulk, Kent Faulcon, Lisa Cloud, Elaine Corral Kendall, Spencer Kayden, Marissa Jaret Winokur, Carolina Lancaster, Sue Casey, Bruce Cohen, Chelsea Hertford, Dennis Anderson, Barry Del Sherman, Thora Birch, Matthew Kimbrough, Chekesha Van Putten, Ara Celi, Sam Robards, David C. Fisher, Joel McCrary, Wes Bentley, Allison Janney, John Cho, Heather Joy Sher, Scott Bakula, Mena Suvari, Nancy Anderson, Reshma Gajjar, Brenda Wehle, Tom Miller, James Hunter, Stephanie Rizzo, Kevin Spacey, Annette Bening, Lily Houtkin, Fort Atkinson, Chris Cooper, Mona Leah, Emily Zachary, Thomas J. Armstrong, Erin Cathryn Strubbe, Krista Goodsitt",Sam Mendes,Alan Ball,"DreamWorks Pictures, Jinks/Cohen Company","Dan Jinks, Bruce Cohen",en,11607,8.019,43.772,122,1999-09-15
15,Citizen Kane,"Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.","Mystery, Drama",,,,"Mercury Productions, RKO Radio Pictures",,en,5211,8.004,20.906,119,1941-04-17
