id,overview
2,coal mine works closes father commits suicide finnish man leaves city make living framed imprisoned various crimes
3,nikander rubbish collector would entrepreneur finds plans success dashed business associate dies one evening meets ilona luck cashier local supermarket falteringly bond begins develop
5,ted bellhop first night job hotel unusual guests place outrageous predicaments seems evening room service serving one unbelievable happening another
6,four young friends taking shortcut en route local boxing match witness brutal murder leaves running lives
8,timo novotny labels new project experimental music documentary film remix celebrated film megacities 1997 visually refined essay hidden faces several world megacities leading austrian documentarist michael glawogger novotny complements 30 material taken straight film edited 70 yet unseen footage blends original shots unused glawogger sequences shot megacities cameraman wolfgang thaler tokyo alongside japanese metropolis life loops takes us right atmosphere mexico city new york moscow bombay electrifying combination fascinating film images equally compelling soundtrack sofa surfers sets us stunning audiovisual adventure across continents film also makes original contribution discussion new trends documentary filmmaking written karlovy vary iff 2006
11,princess leia captured held hostage evil imperial forces effort take galactic empire venturesome luke skywalker dashing captain han solo team together loveable robot duo r2 d2 c 3po rescue beautiful princess restore peace justice empire
12,nemo adventurous young clownfish unexpectedly taken great barrier reef home dentist office aquarium worrisome father marlin friendly forgetful fish dory bring nemo home meeting vegetarian sharks surfer dude turtles hypnotic jellyfish hungry seagulls along way
13,man low iq accomplished great things life present significant historic events case far exceeding anyone imagined could despite achieved one true love eludes
14,lester burnham depressed suburban father mid life crisis decides turn hectic life around developing infatuation daughter attractive friend
15,newspaper magnate charles foster kane taken mother boy made ward rich industrialist result every well meaning tyrannical self destructive move makes rest life appears way reaction deeply wounding event
